"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Vue", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\VUE\sportplay\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"d:\VUE\sportplay\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\VUE\sportplay\jsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\VUE\sportplay\package-lock.json", "JSON", 0, 9059, 0, 0, 0, 0, 0, 0, 1, 9060
"d:\VUE\sportplay\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"d:\VUE\sportplay\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 2, 2, 21
"d:\VUE\sportplay\src\App.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"d:\VUE\sportplay\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 4, 0, 17
"d:\VUE\sportplay\src\assets\css\reset.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 10, 14, 77
"d:\VUE\sportplay\src\assets\font\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 0, 19, 86, 540
"d:\VUE\sportplay\src\assets\font\demo_index.html", "HTML", 0, 0, 0, 0, 0, 0, 371, 2, 46, 419
"d:\VUE\sportplay\src\assets\font\iconfont.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 13, 56
"d:\VUE\sportplay\src\assets\font\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\VUE\sportplay\src\assets\font\iconfont.json", "JSON", 0, 79, 0, 0, 0, 0, 0, 0, 1, 80
"d:\VUE\sportplay\src\components\404.vue", "Vue", 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"d:\VUE\sportplay\src\components\Home.vue", "Vue", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\VUE\sportplay\src\components\IdentifyCode.vue", "Vue", 0, 0, 0, 124, 0, 0, 0, 25, 1, 150
"d:\VUE\sportplay\src\components\Login.vue", "Vue", 0, 0, 0, 278, 0, 0, 0, 29, 14, 321
"d:\VUE\sportplay\src\components\Manager.vue", "Vue", 0, 0, 0, 215, 0, 0, 0, 36, 27, 278
"d:\VUE\sportplay\src\components\Register.vue", "Vue", 0, 0, 0, 155, 0, 0, 0, 6, 12, 173
"d:\VUE\sportplay\src\components\User.vue", "Vue", 0, 0, 0, 116, 0, 0, 0, 8, 10, 134
"d:\VUE\sportplay\src\components\Welcome.vue", "Vue", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\VUE\sportplay\src\components\face\components\desktop\index.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"d:\VUE\sportplay\src\components\face\components\desktop\index.vue", "Vue", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\VUE\sportplay\src\components\face\components\faceLog\index.vue", "Vue", 0, 0, 0, 153, 0, 0, 0, 7, 17, 177
"d:\VUE\sportplay\src\components\face\components\face\index.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"d:\VUE\sportplay\src\components\face\components\face\index.vue", "Vue", 0, 0, 0, 330, 0, 0, 0, 21, 40, 391
"d:\VUE\sportplay\src\components\face\face_axios.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"d:\VUE\sportplay\src\components\face\plugins\element.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\VUE\sportplay\src\components\face\views\home\index.css", "CSS", 0, 0, 0, 0, 70, 0, 0, 0, 3, 73
"d:\VUE\sportplay\src\components\face\views\home\index.vue", "Vue", 0, 0, 0, 67, 0, 0, 0, 5, 9, 81
"d:\VUE\sportplay\src\components\face\views\login\index.css", "CSS", 0, 0, 0, 0, 125, 0, 0, 0, 4, 129
"d:\VUE\sportplay\src\components\face\views\login\index.vue", "Vue", 0, 0, 0, 75, 0, 0, 0, 14, 7, 96
"d:\VUE\sportplay\src\main.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 11, 13, 64
"d:\VUE\sportplay\src\plugins\element.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\VUE\sportplay\src\router\index.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 12, 28, 157
"d:\VUE\sportplay\src\store\user.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 3, 13, 119
"d:\VUE\sportplay\src\utils\aliPay.vue", "Vue", 0, 0, 0, 91, 0, 0, 0, 7, 12, 110
"d:\VUE\sportplay\src\utils\datetime.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 10, 1, 30
"d:\VUE\sportplay\src\utils\http.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 8, 8, 48
"d:\VUE\sportplay\src\utils\localstorage.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VUE\sportplay\src\utils\request.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\VUE\sportplay\src\utils\storage.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VUE\sportplay\src\utils\validate.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 24, 7, 49
"d:\VUE\sportplay\src\views\admin\AdminInfo copy.vue", "Vue", 0, 0, 0, 219, 0, 0, 0, 46, 22, 287
"d:\VUE\sportplay\src\views\admin\AdminInfo.vue", "Vue", 0, 0, 0, 326, 0, 0, 0, 25, 41, 392
"d:\VUE\sportplay\src\views\admin\Charts.vue", "Vue", 0, 0, 0, 66, 0, 0, 0, 1, 12, 79
"d:\VUE\sportplay\src\views\admin\ClassInfo.vue", "Vue", 0, 0, 0, 527, 0, 0, 0, 41, 32, 600
"d:\VUE\sportplay\src\views\admin\Classification.vue", "Vue", 0, 0, 0, 233, 0, 0, 0, 33, 8, 274
"d:\VUE\sportplay\src\views\admin\Comment.vue", "Vue", 0, 0, 0, 123, 0, 0, 0, 6, 6, 135
"d:\VUE\sportplay\src\views\admin\CookBook.vue", "Vue", 0, 0, 0, 455, 0, 0, 0, 42, 26, 523
"d:\VUE\sportplay\src\views\admin\FoodInfo.vue", "Vue", 0, 0, 0, 403, 0, 0, 0, 38, 24, 465
"d:\VUE\sportplay\src\views\admin\FoodType.vue", "Vue", 0, 0, 0, 236, 0, 0, 0, 33, 7, 276
"d:\VUE\sportplay\src\views\admin\Goods.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"d:\VUE\sportplay\src\views\admin\Order.vue", "Vue", 0, 0, 0, 218, 0, 0, 0, 36, 16, 270
"d:\VUE\sportplay\src\views\admin\SportMod.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 10, 112
"d:\VUE\sportplay\src\views\admin\UserList.vue", "Vue", 0, 0, 0, 292, 0, 0, 0, 61, 20, 373
"d:\VUE\sportplay\src\views\admin\index.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"d:\VUE\sportplay\src\views\users\BodyHealth.vue", "Vue", 0, 0, 0, 225, 0, 0, 0, 4, 8, 237
"d:\VUE\sportplay\src\views\users\ClassDetail.vue", "Vue", 0, 0, 0, 690, 0, 0, 0, 25, 15, 730
"d:\VUE\sportplay\src\views\users\FoodHealth.vue", "Vue", 0, 0, 0, 260, 0, 0, 0, 11, 10, 281
"d:\VUE\sportplay\src\views\users\IndexHome.vue", "Vue", 0, 0, 0, 300, 0, 0, 0, 26, 41, 367
"d:\VUE\sportplay\src\views\users\ShowClass.vue", "Vue", 0, 0, 0, 286, 0, 0, 0, 12, 11, 309
"d:\VUE\sportplay\src\views\users\pay.vue", "Vue", 0, 0, 0, 74, 0, 0, 0, 1, 7, 82
"d:\VUE\sportplay\src\views\users\profile\Chart.vue", "Vue", 0, 0, 0, 217, 0, 0, 0, 11, 17, 245
"d:\VUE\sportplay\src\views\users\profile\EditInfo.vue", "Vue", 0, 0, 0, 278, 0, 0, 0, 15, 11, 304
"d:\VUE\sportplay\src\views\users\profile\HealthData.vue", "Vue", 0, 0, 0, 168, 0, 0, 0, 13, 12, 193
"d:\VUE\sportplay\src\views\users\profile\Index.vue", "Vue", 0, 0, 0, 113, 0, 0, 0, 9, 8, 130
"d:\VUE\sportplay\src\views\users\profile\MyMoney.vue", "Vue", 0, 0, 0, 352, 0, 0, 0, 10, 25, 387
"d:\VUE\sportplay\src\views\users\profile\MyOrder.vue", "Vue", 0, 0, 0, 269, 0, 0, 0, 11, 20, 300
"d:\VUE\sportplay\src\views\users\profile\RunData.vue", "Vue", 0, 0, 0, 271, 0, 0, 0, 13, 12, 296
"d:\VUE\sportplay\src\views\users\profile\component\RunReportModel.vue", "Vue", 0, 0, 0, 190, 0, 0, 0, 4, 13, 207
"d:\VUE\sportplay\src\views\users\profile\component\calendar.js", "JavaScript", 307, 0, 0, 0, 0, 0, 0, 175, 42, 524
"d:\VUE\sportplay\src\views\users\profile\component\calendar.vue", "Vue", 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"d:\VUE\sportplay\src\views\users\profile\videoModal\PlayVideoModal.vue", "Vue", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"d:\VUE\sportplay\src\views\users\profile\videoModal\Video.vue", "Vue", 0, 0, 0, 110, 0, 0, 0, 21, 8, 139
"d:\VUE\sportplay\vite.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 1, 3, 26
"d:\VUE\sportplay\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 757, 9177, 19, 8787, 874, 15, 388, 989, 951, 21957